Date,Region,Category,Sales,Units,Profit,Customer_Score
2026-01-01,West,Electronics,12500,42,2300,4.6
2026-01-03,East,Furniture,8300,25,1400,4.1
2026-01-05,North,Electronics,15400,51,3100,4.8
2026-01-07,South,Clothing,6200,70,1100,3.9
2026-01-10,West,Furniture,9800,31,1800,4.3
2026-01-12,East,Clothing,7100,62,1250,4.0
2026-01-15,North,Electronics,17800,59,3600,4.9
2026-01-18,South,Furniture,9200,29,1650,4.2
2026-01-20,West,Clothing,6800,64,1200,4.0
2026-01-23,East,Electronics,14300,47,2750,4.7
2026-01-25,North,Furniture,10500,34,1950,4.4
2026-01-27,South,Electronics,13100,44,2450,4.5
2026-01-30,West,Electronics,22000,73,5200,4.9
2026-02-02,East,Furniture,8700,27,1500,4.2
2026-02-05,North,Clothing,7600,68,1300,4.1
2026-02-08,South,Electronics,14900,49,2900,4.6
2026-02-10,West,Furniture,11200,35,2100,4.4
2026-02-13,East,Clothing,6900,60,1180,3.8
2026-02-16,North,Electronics,16200,54,3250,4.8
2026-02-19,South,Furniture,9500,30,1700,4.3
2026-02-21,West,Clothing,7200,65,1280,4.0
2026-02-24,East,Electronics,15100,50,3000,4.7
2026-02-27,North,Furniture,10900,36,2050,4.5
2026-03-01,South,Electronics,13500,45,2500,4.5
2026-03-04,West,Electronics,24500,79,5900,4.9
2026-03-07,East,Furniture,9100,28,1600,4.2
2026-03-10,North,Clothing,7800,71,1350,4.1
2026-03-13,South,Electronics,14100,46,2700,4.6
2026-03-16,West,Furniture,11800,37,2250,4.5
2026-03-19,East,Clothing,7300,63,1270,3.9
2026-03-22,North,Electronics,16900,56,3400,4.8
2026-03-25,South,Furniture,9700,31,1750,4.3
2026-03-28,West,Clothing,7500,66,1320,4.0
2026-03-30,East,Electronics,15800,52,3150,4.7
